t,x,y,z,Vx,vY,vZ
0.437,2.45531,-1.52106,1.38778,4.16231,-2.57854,0.360539
0.438,2.45947,-1.52364,1.38813,4.15815,-2.57596,0.350383
0.439,2.46363,-1.52621,1.38848,4.15399,-2.57338,0.340237
0.44,2.46778,-1.52878,1.38881,4.14984,-2.57081,0.330102
0.441,2.47193,-1.53135,1.38914,4.1457,-2.56825,0.319978
0.442,2.47607,-1.53392,1.38945,4.14157,-2.56569,0.309864
0.443,2.48021,-1.53648,1.38976,4.13745,-2.56314,0.29976
0.444,2.48435,-1.53904,1.39005,4.13333,-2.56059,0.289667
0.445,2.48848,-1.5416,1.39034,4.12923,-2.55804,0.279584
0.446,2.49261,-1.54416,1.39061,4.12513,-2.55551,0.269512
0.447,2.49673,-1.54672,1.39087,4.12105,-2.55297,0.25945
0.448,2.50085,-1.54927,1.39113,4.11697,-2.55045,0.249398
0.449,2.50496,-1.55182,1.39137,4.1129,-2.54793,0.239356
0.45,2.50907,-1.55436,1.39161,4.10883,-2.54541,0.229324
0.451,2.51318,-1.55691,1.39183,4.10478,-2.5429,0.219303
0.452,2.51728,-1.55945,1.39205,4.10073,-2.54039,0.209292
0.453,2.52138,-1.56199,1.39225,4.0967,-2.53789,0.199291
0.454,2.52548,-1.56452,1.39245,4.09267,-2.5354,0.189299
0.455,2.52957,-1.56706,1.39263,4.08865,-2.5329,0.179318
0.456,2.53365,-1.56959,1.3928,4.08464,-2.53042,0.169347
0.457,2.53774,-1.57212,1.39297,4.08063,-2.52794,0.159386
0.458,2.54182,-1.57465,1.39312,4.07664,-2.52546,0.149435
0.459,2.54589,-1.57717,1.39327,4.07265,-2.52299,0.139493
0.46,2.54996,-1.57969,1.3934,4.06867,-2.52053,0.129562
0.461,2.55403,-1.58221,1.39353,4.0647,-2.51807,0.11964
0.462,2.55809,-1.58473,1.39364,4.06073,-2.51561,0.109728
0.463,2.56215,-1.58724,1.39375,4.05678,-2.51316,0.0998259
0.464,2.5662,-1.58975,1.39384,4.05283,-2.51071,0.0899336
0.465,2.57025,-1.59226,1.39393,4.04889,-2.50827,0.0800509
0.466,2.5743,-1.59477,1.394,4.04496,-2.50584,0.0701779
0.467,2.57834,-1.59728,1.39407,4.04103,-2.5034,0.0603146
0.468,2.58238,-1.59978,1.39412,4.03711,-2.50098,0.0504608
0.469,2.58642,-1.60228,1.39417,4.0332,-2.49856,0.0406167
0.47,2.59045,-1.60477,1.3942,4.0293,-2.49614,0.0307822
0.471,2.59448,-1.60727,1.39423,4.02541,-2.49373,0.0209571
0.472,2.5985,-1.60976,1.39424,4.02152,-2.49132,0.0111416
0.473,2.60252,-1.61225,1.39425,4.01764,-2.48892,0.00133562
